regime,bucket,n,win5,avg_ex5,med_ex5,avg_ex10
R4_down_vol,b_near(-2..-5%),28295,53.1,-0.831,-0.853,-1.756
R2_up_vol,a_at_high(0..-2%),46133,57.1,-0.121,-0.107,0.175
R2_up_vol,f_deep(<-40%),79527,51.1,0.106,-0.388,-0.081
R2_up_vol,c_(-5..-10%),94483,58.7,0.16,0.022,0.354
R4_down_vol,a_at_high(0..-2%),19486,53.4,-0.693,-0.876,-1.612
R3_down_calm,c_(-5..-10%),93745,52.8,-0.175,-0.106,-0.376
R4_down_vol,d_(-10..-20%),143215,56.5,-0.287,-0.075,-0.461
R4_down_vol,e_(-20..-40%),242562,55.9,-0.289,-0.072,-0.101
R2_up_vol,e_(-20..-40%),132223,54.0,0.114,-0.119,0.17
R3_down_calm,d_(-10..-20%),187447,55.1,-0.053,-0.007,-0.13
R1_up_calm,f_deep(<-40%),618154,46.4,-0.604,-0.839,0.094
R4_down_vol,c_(-5..-10%),54660,55.8,-0.398,-0.297,-0.955
R3_down_calm,a_at_high(0..-2%),28908,50.6,-0.302,-0.416,-0.83
R1_up_calm,c_(-5..-10%),911425,52.0,-0.077,-0.153,-0.16
R4_down_vol,f_deep(<-40%),180031,55.3,0.449,0.188,1.009
R1_up_calm,e_(-20..-40%),1081030,49.9,-0.179,-0.3,-0.346
R3_down_calm,b_near(-2..-5%),44727,51.1,-0.23,-0.213,-0.614
R1_up_calm,a_at_high(0..-2%),830774,53.4,-0.124,-0.141,-0.23
R3_down_calm,f_deep(<-40%),148439,52.1,0.188,-0.035,4.626
R1_up_calm,b_near(-2..-5%),789718,52.7,-0.098,-0.138,-0.22
R2_up_vol,d_(-10..-20%),130635,56.4,0.112,-0.012,0.239
R3_down_calm,e_(-20..-40%),239285,55.6,0.152,0.121,0.214
R1_up_calm,d_(-10..-20%),1155778,51.1,-0.1,-0.201,-0.215
R2_up_vol,b_near(-2..-5%),58115,58.1,0.066,-0.018,0.358
