regime,bucket,n,win5,avg_ex5,med_ex5,avg_ex10
R3_down_calm,g_parabolic(>10%),31198,51.9,-0.343,-0.483,0.113
R2_up_vol,g_parabolic(>10%),35287,51.6,0.176,-0.415,0.53
R2_up_vol,c_dip(-5..-2%),68725,59.4,0.074,-0.051,0.242
R4_down_vol,b_down(-10..-5%),70747,55.9,0.207,0.174,0.48
R3_down_calm,b_down(-10..-5%),99669,54.5,0.101,0.048,0.113
R4_down_vol,c_dip(-5..-2%),82647,56.0,0.077,0.078,0.199
R3_down_calm,f_hot(5..10%),58910,53.3,0.025,-0.081,0.053
R4_down_vol,f_hot(5..10%),80837,53.2,-0.175,-0.101,-0.03
R3_down_calm,c_dip(-5..-2%),137720,53.5,0.025,0.039,0.065
R2_up_vol,a_crash(<-10%),19830,52.5,-0.433,-0.722,-0.872
R2_up_vol,d_flat(±2%),203814,55.5,0.039,-0.056,0.173
R2_up_vol,e_up(2..5%),103502,55.3,0.24,0.099,0.352
R3_down_calm,e_up(2..5%),103196,54.5,0.032,-0.02,-0.147
R3_down_calm,d_flat(±2%),267235,54.3,-0.026,-0.056,-0.191
R3_down_calm,a_crash(<-10%),44623,53.5,0.411,0.197,14.937
R1_up_calm,b_down(-10..-5%),397339,50.9,-0.111,-0.223,-0.302
R2_up_vol,f_hot(5..10%),63029,54.5,0.26,-0.077,0.285
R1_up_calm,f_hot(5..10%),441140,49.6,-0.169,-0.291,-0.264
R2_up_vol,b_down(-10..-5%),46929,57.9,-0.007,-0.216,0.036
R1_up_calm,g_parabolic(>10%),217437,46.4,-0.579,-0.757,2.428
R4_down_vol,a_crash(<-10%),68799,55.2,0.792,0.281,0.362
R4_down_vol,e_up(2..5%),106938,58.9,-0.083,-0.033,-0.097
R4_down_vol,d_flat(±2%),199958,58.4,-0.184,-0.157,-0.281
R1_up_calm,c_dip(-5..-2%),777650,51.6,-0.103,-0.149,-0.282
R1_up_calm,e_up(2..5%),899631,51.0,-0.155,-0.18,-0.29
R1_up_calm,d_flat(±2%),2484546,51.8,-0.155,-0.191,-0.304
R1_up_calm,a_crash(<-10%),169136,47.6,-0.49,-0.735,-0.769
R4_down_vol,g_parabolic(>10%),58323,43.6,-1.795,-1.525,-0.822
