regime,bucket,n,win5,avg_ex5,med_ex5,avg_ex10
R3_down_calm,b_deep_pb(-15..-8%),10700,60.3,0.735,0.619,0.932
R4_down_vol,a_broken(<-15%),2550,51.5,-0.193,-0.45,0.551
R2_up_vol,f_extended(8..15%),46146,54.9,0.427,0.347,0.951
R3_down_calm,g_parabolic(>15%),29523,47.6,-0.65,-0.607,-1.241
R4_down_vol,c_pullback(-8..-3%),15378,51.4,-0.416,-0.193,-0.554
R1_up_calm,a_broken(<-15%),22327,48.8,-0.151,-0.576,-0.453
R2_up_vol,c_pullback(-8..-3%),28227,61.5,0.157,0.007,0.285
R3_down_calm,f_extended(8..15%),36201,49.2,0.108,0.028,-0.014
R4_down_vol,d_at_ma(±3%),51381,53.5,-0.388,-0.451,-0.652
R1_up_calm,b_deep_pb(-15..-8%),71659,51.2,-0.031,-0.128,-0.147
R2_up_vol,g_parabolic(>15%),39802,53.9,0.732,0.184,1.64
R2_up_vol,e_above(3..8%),69512,58.4,0.209,0.189,0.542
R3_down_calm,a_broken(<-15%),3408,61.9,2.478,2.148,2.894
R4_down_vol,b_deep_pb(-15..-8%),6495,49.3,-1.024,-0.711,-0.955
R3_down_calm,d_at_ma(±3%),86030,54.9,-0.12,-0.163,-0.318
R4_down_vol,f_extended(8..15%),29103,54.8,-0.306,-0.251,-0.632
R2_up_vol,d_at_ma(±3%),113090,60.6,-0.007,-0.076,0.093
R1_up_calm,g_parabolic(>15%),369282,48.4,-0.193,-0.469,-0.222
R2_up_vol,b_deep_pb(-15..-8%),7887,58.6,0.554,0.278,0.548
R4_down_vol,e_above(3..8%),36649,55.5,-0.339,-0.226,-0.614
R1_up_calm,c_pullback(-8..-3%),247581,51.8,-0.07,-0.126,-0.179
R2_up_vol,a_broken(<-15%),2114,60.6,2.655,1.161,2.823
R3_down_calm,e_above(3..8%),56612,51.1,0.025,0.062,-0.087
R1_up_calm,f_extended(8..15%),517112,50.4,-0.074,-0.189,-0.133
R1_up_calm,e_above(3..8%),950249,52.4,-0.098,-0.104,-0.218
R3_down_calm,c_pullback(-8..-3%),30518,58.2,0.07,0.169,0.037
R4_down_vol,g_parabolic(>15%),24697,49.7,-0.724,-0.698,-1.368
R1_up_calm,d_at_ma(±3%),1325608,52.7,-0.142,-0.171,-0.274
