symbol,d,pnl,pnl_pct,exit_reason,engine
OXY,2026-04-28,-0.54,-0.03,,legacy
AMZN,2026-04-28,0.03,0,,legacy
NVDA,2026-04-28,0.01,0,,legacy
UNH,2026-04-28,-12.8,-0.7,,legacy
CRWD,2026-04-28,-0.33,-0.02,,legacy
NVDA,2026-04-28,-0.18,-0.01,,legacy
PANW,2026-04-28,-1.99,-0.14,,legacy
AMZN,2026-04-27,0,0,,legacy
AMZN,2026-04-27,-0.26,-0.02,,legacy
INTC,2026-04-27,0.02,0,,legacy
MU,2026-04-27,-11.79,-1.12,,legacy
GOOGL,2026-04-27,-0.3,-0.01,,legacy
MU,2026-04-27,-5.7,-0.54,,legacy
MU,2026-04-27,-8.99,-0.85,,legacy
QCOM,2026-04-27,-1.4,-0.09,,legacy
TSM,2026-04-27,-33,-2.67,,legacy
INTC,2026-04-24,-0.36,-0.02,,legacy
AMD,2026-04-24,-26.32,-1.88,,legacy
QCOM,2026-04-24,-72.6,-4.28,,legacy
MRVL,2026-04-23,0.01,0.01,,legacy
ARM,2026-04-23,0,0,,legacy
MRVL,2026-04-23,-22.88,-1.72,,legacy
ON,2026-04-23,-0.11,-0.01,,legacy
TXN,2026-04-23,0,0,,legacy
UNP,2026-04-23,0,0,,legacy
ON,2026-04-23,0,0,,legacy
MU,2026-04-29,-21.14,-1.99,,legacy
V,2026-04-29,-0.42,-0.02,,legacy
BE,2026-04-29,-61.5,-4.24,,legacy
FTAI,2026-04-30,-37.6,-2.98,,legacy
MU,2026-04-29,-27.55,-1.04,,legacy
GD,2026-04-29,2.85,0.17,,legacy
SBUX,2026-04-29,-35.49,-1.54,,legacy
TEAM,2026-05-01,-18.26,-1.28,,legacy
TWLO,2026-05-01,-13.68,-0.95,,legacy
NVT,2026-05-01,-94.8,-5.64,,legacy
FIVN,2026-05-01,0.86,0.06,,legacy
CRCL,2026-05-04,-8.9,-0.02,,legacy
IREN,2026-05-04,10.71,0.02,,legacy
MIRM,2026-05-04,0,0,,legacy
COIN,2026-05-04,-204.85,-0.41,,legacy
COIN,2026-05-04,-204.85,-0.41,,legacy
CELC,2026-05-05,0,0,,legacy
CRCL,2026-05-05,-42.8,-0.09,,legacy
