cohort,regime,half,config,n,win_pct,avg_pct,med_pct,p10_pct,expectancy_bp
random,R1_up_calm,H1_2017-21,h8_trail10_t10,27608,48.4,-0.062,-0.116,-8.05,-6
random,R1_up_calm,H1_2017-21,hard12_t10,27607,50.4,0.009,0.033,-12.05,1
random,R1_up_calm,H1_2017-21,hard5_t10,27607,44.7,-0.018,-0.545,-5.05,-2
random,R1_up_calm,H1_2017-21,hard8_t10,27607,48.9,0.002,-0.100,-8.05,0
random,R1_up_calm,H1_2017-21,no_stop_t10,27606,51.0,0.028,0.079,-8.25,3
random,R1_up_calm,H1_2017-21,no_stop_t5,27608,49.7,-0.075,-0.015,-5.98,-8
random,R1_up_calm,H1_2017-21,trail12_t10,27608,49.7,0.014,-0.023,-9.02,1
random,R1_up_calm,H1_2017-21,trail8_t10,27609,47.3,0.010,-0.200,-7.03,1
random,R1_up_calm,H2_2022-26,h8_trail10_t10,26487,46.2,-0.138,-0.343,-8.05,-14
random,R1_up_calm,H2_2022-26,hard12_t10,26486,48.2,-0.094,-0.162,-12.05,-9
random,R1_up_calm,H2_2022-26,hard5_t10,26487,42.3,-0.090,-0.889,-5.05,-9
random,R1_up_calm,H2_2022-26,hard8_t10,26487,46.5,-0.100,-0.317,-8.05,-10
random,R1_up_calm,H2_2022-26,no_stop_t10,26486,49.1,-0.071,-0.089,-8.89,-7
random,R1_up_calm,H2_2022-26,no_stop_t5,26487,48.3,-0.113,-0.100,-6.43,-11
random,R1_up_calm,H2_2022-26,trail12_t10,26487,47.7,-0.034,-0.218,-9.28,-3
random,R1_up_calm,H2_2022-26,trail8_t10,26487,45.0,-0.071,-0.468,-7.09,-7
random,R2_up_vol,H1_2017-21,h8_trail10_t10,4153,52.1,0.862,0.245,-8.05,86
random,R2_up_vol,H1_2017-21,hard12_t10,4153,55.5,1.097,0.745,-12.05,110
random,R2_up_vol,H1_2017-21,hard5_t10,4153,47.2,0.836,-0.361,-5.05,84
