ticker,d,bull_prem,bear_prem,alerts
SPX,2026-05-22,5413630,4905250,32
RIG,2026-05-28,0,26789,7
OKE,2026-05-21,0,0,2
PACS,2026-05-23,12720,0,1
OXY,2026-05-27,81310,281982,6
USO,2026-05-29,116149,1140575,58
SGML,2026-05-20,0,0,1
ADSK,2026-05-22,0,0,1
COP,2026-05-27,59700,55223,3
TTD,2026-05-23,0,0,1
BKSY,2026-05-28,0,62800,1
MSTU,2026-05-29,0,0,1
RUT,2026-05-21,1604538,0,5
GD,2026-05-26,73320,0,1
CMG,2026-05-19,30623,0,7
WDAY,2026-05-29,525611,316281,26
SE,2026-05-20,1475433,67331,15
FCX,2026-05-27,210560,266867,5
SNOW,2026-05-26,1336863,0,7
BRKB,2026-05-27,0,529422,4
YPF,2026-05-20,0,0,2
PNC,2026-05-26,0,0,1
BBBY,2026-05-27,39750,18000,2
PONY,2026-05-28,17490,0,1
LVS,2026-05-20,84238,0,6
EWY,2026-05-23,413719,233080,37
WHR,2026-05-22,253850,98140,9
ASPI,2026-05-20,57460,0,2
STLA,2026-05-23,0,0,1
TCOM,2026-05-21,17000,0,2
COPX,2026-05-21,128075,0,3
NOW,2026-05-21,663395,1887624,34
BTDR,2026-05-19,46500,26730,2
NEE,2026-05-19,176600,0,5
CENX,2026-05-26,1415198,0,2
PAGP,2026-05-27,0,34135,3
GILD,2026-05-21,122220,0,1
LULU,2026-05-29,240885,102908,16
CI,2026-05-27,0,361760,1
TMF,2026-05-28,0,0,11
LAR,2026-05-27,0,0,1
BIDU,2026-05-20,252990,103212,7
VRT,2026-05-27,3783408,105565,9
MTDR,2026-05-26,107969,0,2
RXT,2026-05-23,10800,0,2
WYFI,2026-05-28,12272,0,2
COST,2026-05-23,0,171015,3
MET,2026-05-20,153302,0,1
PAGS,2026-05-21,12600,0,1
AFL,2026-05-22,0,0,1
HYG,2026-05-27,24400,1201850,12
SHOP,2026-05-26,2196778,0,3
PLTR,2026-05-19,1868763,513738,35
AVAV,2026-05-29,24420,0,5
NVAX,2026-05-23,0,16847,1
BTDR,2026-05-28,4324248,495755,77
ROST,2026-05-27,0,66600,1
AZN,2026-05-26,225500,0,2
RUN,2026-05-20,0,15360,5
LAC,2026-05-21,67105,0,2
BC,2026-05-28,11310,0,2
PG,2026-05-22,0,180938,3
WTS,2026-05-22,31360,0,2
GH,2026-05-27,109250,0,1
CPNG,2026-05-23,490512,0,11
BX,2026-05-21,0,51105,2
TSCO,2026-05-23,201187,0,1
GEV,2026-05-22,950600,183990,6
SDGR,2026-05-22,19665,0,1
GDS,2026-05-20,0,0,1
ETN,2026-05-27,126260,0,2
ETHU,2026-05-28,19740,0,1
ZETA,2026-05-21,0,0,6
VNET,2026-05-28,54945,0,1
RKLB,2026-05-21,835612,454070,25
IBIT,2026-05-27,370746,363352,9
ERAS,2026-05-22,0,12320,1
KWEB,2026-05-23,243151,55712,17
RACE,2026-05-21,0,0,1
ETHA,2026-05-28,80053,82697,18
KTOS,2026-05-20,60925,0,5
SFM,2026-05-19,2436539,29073,48
SPIR,2026-05-27,0,0,1
BDX,2026-05-27,576119,0,7
UPS,2026-05-28,80400,372285,5
RKLB,2026-05-20,934224,178522,18
LULU,2026-05-22,32615,118620,12
PLUG,2026-05-22,501265,282744,29
CAVA,2026-05-19,0,0,1
MDB,2026-05-29,2303721,2176083,85
WYFI,2026-05-26,0,0,2
MTSI,2026-05-28,93150,550632,6
BB,2026-05-21,0,90000,3
WRBY,2026-05-28,0,0,1
CLFD,2026-05-28,124036,0,2
MSGS,2026-05-26,0,37450,2
WCN,2026-05-21,37438,0,1
URBN,2026-05-21,70648,0,1
CPNG,2026-05-20,2948089,0,11
UTI,2026-05-23,84126,0,4
TTMI,2026-05-20,0,0,1
FLY,2026-05-26,1010928,0,9
ETSY,2026-05-21,0,0,2
AES,2026-05-27,0,0,1
SPXW,2026-05-28,7130194,11632225,128
TWLO,2026-05-22,0,48723,1
AKAM,2026-05-20,254535,627840,26
GLD,2026-05-20,965958,829699,111
DOV,2026-05-28,65700,0,1
Q,2026-05-23,11200,0,2
ADUR,2026-05-21,0,0,1
ORA,2026-05-26,0,0,1
CAH,2026-05-20,0,0,1
GDX,2026-05-28,594289,31905,33
CLF,2026-05-27,1773397,0,61
ALK,2026-05-22,476149,147203,6
CLSK,2026-05-20,1461815,25200,48
PAYX,2026-05-27,35640,0,1
SCO,2026-05-22,241184,30631,9
ETHU,2026-05-29,0,20000,3
IBM,2026-05-21,2644082,390397,32
CHKP,2026-05-19,104000,0,2
BW,2026-05-22,0,0,1
RGTI,2026-05-26,1245601,71568,31
URA,2026-05-20,0,10503,2
UNIT,2026-05-28,95220,0,1
GT,2026-05-21,0,36000,3
BRUN,2026-05-28,0,131280,6
FUTU,2026-05-27,898540,373688,25
ETR,2026-05-20,14600,0,1
WSM,2026-05-23,0,0,1
